City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,butaritari,75,KI,1586114686,78,3.07,172.79,301.24,6.06
1,bodden town,20,KY,1586114804,66,19.28,-81.25,304.15,4.1
2,port elizabeth,60,ZA,1586114805,82,-33.92,25.57,291.15,6.7
3,lagoa,100,PT,1586114805,83,39.05,-27.98,286.9,7.39
4,saryagash,90,KZ,1586114805,100,41.45,69.17,285.15,1.0
5,necochea,98,AR,1586114634,65,-38.55,-58.74,297.04,0.89
6,upernavik,11,GL,1586114533,79,72.79,-56.15,262.71,0.41
7,east london,46,ZA,1586114805,75,-33.02,27.91,295.02,3.11
8,khorixas,66,NA,1586114805,33,-20.37,14.97,299.03,5.95
9,svetlogorsk,0,BY,1586114806,65,52.63,29.73,277.62,2.9
10,new norfolk,90,AU,1586114764,57,-42.78,147.06,283.15,7.7
11,busselton,60,AU,1586114774,44,-33.65,115.33,290.93,5.1
12,murud,0,IN,1586114806,78,18.33,72.97,297.17,0.57
13,camacupa,99,AO,1586114806,61,-12.02,17.48,291.84,0.41
14,moindou,20,NC,1586114806,83,-21.69,165.68,296.15,2.1
15,airai,12,TL,1586114530,68,-8.93,125.41,289.31,0.42
16,atuona,21,PF,1586114769,76,-9.8,-139.03,300.67,6.96
17,bengkulu,100,ID,1586114807,89,-3.8,102.27,298.0,3.57
18,kapaa,1,US,1586114737,83,22.08,-159.32,299.15,3.1
19,bluff,100,NZ,1586114544,81,-46.6,168.33,288.71,2.24
20,mataura,100,NZ,1586114766,81,-46.19,168.86,288.71,2.24
21,lompoc,98,US,1586114807,82,34.64,-120.46,287.15,4.6
22,pueblo nuevo,98,MX,1586114808,9,23.38,-105.38,298.81,3.55
23,zharkent,28,KZ,1586114808,30,44.16,80.0,288.31,1.9
24,arraial do cabo,75,BR,1586114598,65,-22.97,-42.03,299.15,3.1
25,tiksi,74,RU,1586114808,92,71.69,128.87,263.94,11.1
26,mollendo,9,PE,1586114808,67,-17.02,-72.01,296.85,3.16
27,khatanga,99,RU,1586114808,97,71.97,102.5,272.45,7.2
28,lubango,20,AO,1586114808,54,-14.92,13.49,289.44,0.7
29,bonanza,89,NI,1586114808,34,14.03,-84.59,305.95,1.79
30,dikson,90,RU,1586114809,96,73.51,80.55,262.06,1.22
31,springfield,90,US,1586114715,87,37.22,-93.3,287.59,2.59
32,punta arenas,40,CL,1586114809,59,-53.15,-70.92,281.15,11.3
33,bambous virieux,75,MU,1586114780,78,-20.34,57.76,299.15,4.6
34,preobrazheniye,58,RU,1586114809,90,42.9,133.91,273.4,4.44
35,zhigansk,100,RU,1586114810,96,66.77,123.37,263.65,8.01
36,yellowknife,20,CA,1586114769,48,62.46,-114.35,267.15,5.1
37,pustoshka,36,RU,1586114810,71,56.34,29.37,275.3,2.37
38,manica,33,FR,1586114810,55,49.0,-1.17,290.37,5.74
39,hermanus,95,ZA,1586114529,99,-34.42,19.23,288.15,1.79
40,clyde river,75,CA,1586114531,66,70.47,-68.59,262.15,7.7
41,cape town,75,ZA,1586114236,93,-33.93,18.42,289.26,2.6
42,hasaki,75,JP,1586114811,86,35.73,140.83,278.15,1.5
43,hobart,90,AU,1586114536,57,-42.88,147.33,283.15,7.7
44,marawi,36,PH,1586114811,75,8.0,124.29,293.03,0.74
45,rio gallegos,75,AR,1586114574,37,-51.62,-69.22,283.15,11.8
46,korla,44,CN,1586114811,46,41.76,86.15,287.04,1.34
47,bafq,0,IR,1586114811,17,31.61,55.41,293.27,5.32
48,rikitea,73,PF,1586114685,68,-23.12,-134.97,296.98,5.52
49,hithadhoo,49,MV,1586114811,75,-0.6,73.08,301.64,3.38
50,saint-philippe,46,RE,1586114526,73,-21.36,55.77,298.15,3.1
51,bethel,20,US,1586114685,55,41.37,-73.41,291.48,2.6
52,ilulissat,0,GL,1586114812,43,69.22,-51.1,263.15,14.9
53,yumen,73,CN,1586114812,24,40.28,97.2,281.9,2.39
54,hilo,90,US,1586114557,88,19.73,-155.09,296.15,2.6
55,lebu,13,CL,1586114608,57,-37.62,-73.65,289.64,4.05
56,swan hill,43,AU,1586114812,76,-35.34,143.55,285.4,2.64
57,vardo,89,NO,1586114812,61,70.37,31.11,266.15,7.2
58,bathsheba,75,BB,1586114812,66,13.22,-59.52,302.15,6.7
59,kiskore,0,HU,1586114813,46,47.5,20.5,286.48,1.0
60,ribeira grande,40,PT,1586114786,77,38.52,-28.7,289.15,6.7
61,tuktoyaktuk,75,CA,1586114813,73,69.45,-133.04,266.15,10.3
62,savyntsi,2,UA,1586114813,60,49.4,37.06,278.66,5.95
63,port alfred,40,ZA,1586114813,88,-33.59,26.89,290.93,1.34
64,cherskiy,0,RU,1586114544,87,68.75,161.3,251.24,4.68
65,longyearbyen,40,SJ,1586114813,77,78.22,15.64,258.15,2.6
66,grand forks,40,US,1586114793,74,47.93,-97.03,275.15,1.8
67,ushuaia,75,AR,1586114796,80,-54.8,-68.3,278.15,14.4
68,buala,100,SB,1586114814,83,-8.14,159.59,300.18,5.37
69,dingle,2,PH,1586114775,80,11.0,122.67,298.61,3.87
70,raga,74,SS,1586114814,10,8.46,25.68,304.05,2.08
71,puerto ayora,20,EC,1586114764,74,-0.74,-90.35,302.15,6.2
72,meulaboh,100,ID,1586114814,81,4.14,96.13,300.08,3.01
73,georgetown,40,MY,1586114814,100,5.41,100.34,299.15,2.42
74,belmonte,40,BR,1586114815,83,-15.86,-38.88,300.15,2.6
75,barrow,75,US,1586114702,85,71.29,-156.79,266.15,6.2
76,jamestown,20,US,1586114815,70,42.1,-79.24,283.15,4.6
77,port lincoln,71,AU,1586114815,77,-34.73,135.87,289.42,3.55
